Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,post_impressions_unique:lifetime,post_impressions_organic_unique:lifetime,post_impressions_paid_unique:lifetime,post_impressions:lifetime,post_impressions_organic:lifetime,post_impressions_paid:lifetime,post_engaged_users:lifetime,post_consumptions_unique:lifetime,post_consumptions:lifetime,post_negative_feedback:lifetime,post_impressions_fan:lifetime,post_impressions_fan_unique:lifetime,post_impressions_fan_paid:lifetime,post_impressions_fan_paid_unique:lifetime,post_engaged_fan:lifetime,post_video_complete_views_organic_unique:lifetime,post_video_complete_views_organic:lifetime,post_video_complete_views_paid_unique:lifetime,post_video_complete_views_paid:lifetime,post_video_views_organic_unique:lifetime,post_video_views_organic:lifetime,post_video_views_paid_unique:lifetime,post_video_views_paid:lifetime,post_video_avg_time_watched:lifetime,post_video_length:lifetime
1517032341862724_1872989222933699,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1872989222933699:0,De estas deliciosas manzanas #McKlein la que prefiero es....  ¡VOTA YA!  #yosimeanimo #cómemebeibi #manzanasmcklein,Photo,,,1/24/17 12:00 PM, ,16838,1284,14455,23654,2409,19654,987,241,320,0,2375,1251,1,1,60,0,0,0,0,0,0,0,0,0,0
1517032341862724_1871627599736528,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1871627599736528:0,"Este día pinta bien para ir por mi McKlein clásica.  LIKE, si se te hizo agua la boca XD!",Photo,,,1/22/17 12:00 PM, ,1320,1275,0,2372,2311,0,44,26,31,0,2255,1232,0,0,30,0,0,0,0,0,0,0,0,0,0
1517032341862724_1871627059736582,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1871627059736582:0,"LIKE, si se te antojaron   #cómemebeibi #manzanasmcklein",Photo,,,1/21/17 4:37 PM, ,2700,2549,0,5644,5409,0,50,35,43,0,5301,2470,0,0,37,0,0,0,0,0,0,0,0,0,0
1517032341862724_1870983226467632,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1870983226467632:0,Estas McKlein están listas para ser devoradas ¿Tú si te animas?  #cómemebeibi #yosimeanimo #manzanasmcklein,Photo,,,1/20/17 4:10 PM, ,1100,1069,0,2094,2045,0,41,22,26,0,1996,1036,0,0,25,0,0,0,0,0,0,0,0,0,0
1517032341862724_1870549143177707,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1870549143177707,¡Y si le caemos a #McKlein.... ven y  #cómemebeibi!  www.manzanasgourmet.com,Link,,,1/19/17 1:53 PM, ,387,361,0,676,631,0,15,9,9,0,615,347,0,0,13,0,0,0,0,0,0,0,0,0,0
1517032341862724_1869450136620941,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1869450136620941:0,Por los que amamos el chocolate con locura!!!  LIKE si te encanta el chocolate #mckleinchocolatelovers,Photo,,,1/17/17 12:00 PM, ,1604,1522,0,3880,3693,0,36,19,24,0,3604,1460,0,0,23,0,0,0,0,0,0,0,0,0,0
1517032341862724_1868006176765337,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1868006176765337:0,"TU, YO, UNAS MCKLEIN... NO SE, PIÉNSALO ;) #manzanasmcklein #cómemebeibi",Photo,,,1/15/17 12:00 PM, ,1686,1666,0,3309,3263,0,31,18,19,0,3200,1612,0,0,22,0,0,0,0,0,0,0,0,0,0
1517032341862724_1868003646765590,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1868003646765590,"¡Ya hay McKlein para todos! Corre que vuelan, cerramos hasta las 9:00.pm ;)  #cómemebeibi #yosimeanimo #yeah #yomi #manzanasmcklein",Link,,,1/14/17 1:52 PM, ,728,667,0,1067,967,0,21,8,12,0,921,635,0,0,19,0,0,0,0,0,0,0,0,0,0
1517032341862724_1867443796821575,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1867443796821575,HOY es ¡VIERNES! e iremos por una McKlein ;)  #cómemebeibi #manzanasmcklein #porfinesviernes,Link,,,1/13/17 10:57 AM, ,665,630,0,1029,978,0,14,4,4,0,948,604,0,0,12,0,0,0,0,0,0,0,0,0,0
1517032341862724_1866886403543981,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1866886403543981:0,¿Te vas animar a venir por una #McKlein?  #yosimeanimo #cómemebeibi #manzanasmcklein,Photo,,,1/12/17 12:00 PM, ,1061,992,0,2020,1894,0,40,26,29,0,1866,959,0,0,26,0,0,0,0,0,0,0,0,0,0
1517032341862724_1865510603681561,https://www.facebook.com/ManzanasGourmetMcKlein/posts/1865510603681561:0,LIKE si se te hizo agua la boca :O!  COME MANZANAS Y VERDURAS,Photo,,,1/10/17 12:00 PM, ,1815,1468,0,3110,2691,0,138,67,87,0,2660,1446,0,0,115,0,0,0,0,0,0,0,0,0,0
